Gene	Bone Marrow	E14.5-Brain	Cerebellum	Cortex	E14.5-Heart	Heart	Intestine	Kidney	E14.5-Limb	E14.5-Liver	Liver	Lung	Olfactory	E14.5-Placenta	Spleen	Testis	Thymus
ENSMUSG00000048312	0	0	0	0.00415469	0	0	0	0	0	0	0	0	0	0	0.002499615	1.0209125	0
ENSMUSG00000049648	0	0	0	0	0	0	0	0	0	0	0	0.03092915	0	0	0	0	0
ENSMUSG00000049649	0.0559333	0.1020533	1.0280625	1.15804	0.0253371	0	0.01313605	0.03620345	0.08750625	0	0.01692075	0.0417219	0.721961	0.0154459	0.049131	0.162992	0.12740185
ENSMUSG00000051969	0.0552025	0	0	0	0.0170586	0	0.167689	0.0245622	0	0.02838085	0.0605203	0.170222	0	0.01046825	1.1091285	0.319393	0.413264
ENSMUSG00000074607	0.0715612	3.79667	0.203179	2.43501	0.7281915	0.2423895	0.10014685	0	0.382827	0.10227735	0.07095085	1.555975	1.84736	2.156025	0.974459	0.8190235	0.692685
ENSMUSG00000035078	1.487525	13.23505	9.743245	12.5958	5.60869	1.70641	4.29967	2.50336	6.10131	3.977415	1.61909	3.243295	7.29629	8.066535	1.936845	15.34015	5.95291
ENSMUSG00000047053	0.0435911	0.02574535	0.03617165	0.1280145	0	0.02421285	0.01989435	0.02736425	0	0.0634207	0.08043325	0.158888	0.4537525	0.086202	0.0244958	0	0.13424365
ENSMUSG00000050635	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3214045	0	0	0.232024
ENSMUSG00000047050	0.1835445	0	0	0	0	0	0	0	0.0588595	0	0.02165755	0	0	0	0	0	0.0511585
ENSMUSG00000051965	0.202167	0.2787235	0.16271085	0.13929795	0	0.0476181	0	0	0	0.028344	0.0251989	0.10376225	0	0.0230025	0.0740728	0	0.4472405
ENSMUSG00000074604	18.693435	0.1236565	0.04344895	0.0438661	0.460928	0	65.39955	0.0879995	0.2563195	4.2523	0	3.15434	2.76032	1.507605	10.377645	1.757595	11.00975
ENSMUSG00000062627	1.003586	5.64878	4.26903	3.40418	3.61612	1.068132	3.039015	1.647125	6.360155	3.447395	1.594195	2.865435	4.37935	3.62264	1.96382	1.39196	4.69972
ENSMUSG00000062629	0	0	0	0.0412407	0	0	0	0	0	0	0	0	0.546845	0	0	0.357658	0
ENSMUSG00000023084	0.6713285	0.2757875	0.288837	0.1618495	0.3015995	0.2693575	0.229189	0.372076	0.258711	0.1694415	0.17363586	5.526995	0.4425505	0.1692945	0.2576511	13.78775	0.3713405
ENSMUSG00000023083	0	0.3020365	0.2141195	0.643146	0.1429725	0	0.0284349	0.02617765	0.2868885	0.09064675	0	0.05143515	0.1589275	0.09118185	0.072656	0	0.2362935
ENSMUSG00000023088	1.690755	1.37628	2.403585	1.600815	0.562216	2.48189	1.016968	1.112985	1.69358	1.197075	0.117721	2.65512	2.494485	2.719705	2.92129	3.41182	1.89968
